,country,volume,cases,deaths,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
1235,Wales,61,0,801,0,0.3715686274509804,-0.011426400073918487,-0.2578985539215686,0.11176470588235292
1236,England,556,1236,30496,0,0.1477637041404804,0.09382773139656479,0.0067106588384926195,0.113693159712737
1237,Scotland,116,53,1307,0,-0.0064516129032258064,0.004628206454371333,-0.07514817204301075,0.03906810035842294
1238,Northern Ireland,16,0,670,0,-0.14814814814814814,0.05808414836192614,0.14662592592592588,0.2777777777777778
1239,Wales,64,0,1079,0,0.06009615384615384,0.20996323059381092,0.20525949519230768,0.38221153846153844
1240,England,575,1191,27580,0,0.027493285635273697,0.07564483166109964,-0.04025868717547721,0.1924720256168043
1241,Scotland,93,70,1195,0,-0.08978494623655914,0.05677620531350369,-0.00292021505376344,0.33763440860215055
1242,Northern Ireland,3,0,433,0,-0.5,-0.0530753968253968,0.05690833333333334,0.16666666666666666
1243,Wales,57,0,796,0,0.30833333333333335,0.060781645755864463,0.10143074999999999,0.3533333333333334
1244,England,545,1252,20149,0,-0.00481133472338087,0.0569621602282812,-0.02878160789800076,0.14360183769696858
1245,Scotland,127,52,752,0,0.07621004809944902,0.02642120811187632,0.0217705041545825,0.22568546163016207
1246,Northern Ireland,16,0,422,0,-0.13095238095238096,0.15925572691197687,-0.012955952380952354,0.25
1247,Wales,65,0,872,0,-0.004629629629629636,-0.04195875706726401,-0.1426912037037037,-0.22222222222222227
1248,England,692,1144,17920,0,-0.039061428347170364,0.03554828899705121,-0.1370839499059441,0.04248762045560767
1249,Scotland,121,52,1049,0,0.0261474964700771,0.055962940720349755,0.04444956071467362,0.11614966873031386
1250,Northern Ireland,12,0,550,0,-0.6481481481481481,-0.3630640064667843,-0.4052481481481481,-0.6481481481481481
1251,Wales,70,0,570,0,0.008823529411764702,-0.04442883491780551,-0.19978029411764708,-0.06127450980392157
1252,England,586,1204,22914,0,-0.10180404498147834,0.049076987678529325,-0.14447129197900432,0.11123995326970482
1253,Scotland,164,60,1330,0,0.042999532065746,0.034490342145727,-0.009192027887411578,0.3917035011771854
1254,Northern Ireland,13,0,527,0,0.26666666666666666,-0.0014772727272727344,-0.21105166666666667,0.5333333333333333
1255,Wales,73,0,537,0,-0.06112421383647799,0.07320111655609567,-0.030116617531446475,0.289308176100629
