,country,volume,deaths,cases,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
799,Wales,-0.48042922621192696,-0.3483401126418298,0.040819663786275176,0,0.05357142857142855,0.0697864594069951,0.009639285714285687,0.11904761904761901
800,England,-1.1791944670630758,-0.8226963477171585,0.21268916640966307,0,0.03972009591806076,0.0725533729404704,0.07079353643350172,0.20070199098876249
801,Scotland,0.11434088068390089,-0.8569183924262297,0.39076768856818767,0,-0.171455938697318,-0.03421357371608809,-0.14354904214559389,-0.15134099616858238
802,Northern Ireland,-1.141806448316697,0.0,0.8488937126448696,0,0.16666666666666666,0.027499999999999983,0.03555333333333333,-0.03333333333333333
803,Wales,-0.437251115038326,-0.7795998961461196,-0.14959506343909837,0,0.1388888888888889,0.12406801146384479,0.19031458333333334,0.4027777777777778
804,England,-0.9255351521290585,-0.7836494811675329,0.12404752547673038,0,-0.008056488739579443,0.05418822513912176,0.014600101717058592,0.19671830284932187
805,Scotland,0.2472162659109244,-0.5967574074915887,0.8315841411274095,0,0.01360153256704981,0.019040093336668996,0.021815057471264367,0.11206896551724138
806,Northern Ireland,-0.5446677503670289,0.0,1.2259929981025302,0,-0.1851851851851852,-0.02123824221046443,-0.16648888888888888,-0.14814814814814814
807,Wales,-0.48042922621192696,-0.2764634820577815,0.21453134476380892,0,-0.029761904761904795,0.07369908588435374,-0.03760059523809524,0.20833333333333331
808,England,-0.7090792033853636,-0.8016711118827446,0.3950376849002674,0,0.047714460480417914,0.06400214324172411,-0.011589347842002789,0.050027303357553114
809,Scotland,-0.48359835283770497,-0.49269301351773237,0.7847256993199332,0,0.028510146840455372,0.02433959308670578,0.03411444976076555,0.07190232634878733
810,Northern Ireland,-1.141806448316697,0.0,1.4513038919294343,0,0.09999999999999999,0.04222685185185185,0.04553666666666665,0.03333333333333333
811,Wales,-0.35089489269112395,-0.635846634978023,0.08758819328022657,0,0.11249999999999999,0.10437158414502162,0.0965953125,0.25625
812,England,-0.9153887795316977,-0.8076783221211487,0.06421441784700083,0,0.17230128028000366,0.07972780002381312,0.12835348639212113,0.18950284677235033
